{ ['x'] = 1693.8952636719, ['y'] = 3759.7404785156, ['z'] = 34.705345153809 },
{ ['x'] = 1693.9376220703, ['y'] = 3760.2463378906, ['z'] = 34.705337524414 },
{ ['x'] = 1640.7264404297, ['y'] = 3730.9936523438, ['z'] = 35.067134857178 },
{ ['x'] = 1177.1647949219, ['y'] = 2723.220703125, ['z'] = 38.004173278809 },
{ ['x'] = -1724.7882080078, ['y'] = 234.66094970703, ['z'] = 58.471710205078 },
{ ['x'] = -1035.0560302734, ['y'] = -2730.6123046875, ['z'] = 13.756640434265 },
{ ['x'] = 850.15667724609, ['y'] = -1283.9200439453, ['z'] = 28.004737854004 },
{ ['x'] = 457.95690917969, ['y'] = -992.72314453125, ['z'] = 30.689586639404 },
{ ['x'] = 1856.9132080078, ['y'] = 3689.5007324219, ['z'] = 34.267078399658 },
{ ['x'] = -450.0632019043, ['y'] = 6016.5751953125, ['z'] = 31.716373443604 },
{ ['x'] = 452.11596679688, ['y'] = -1018.1068115234, ['z'] = 28.478658676147 },
{ ['x'] = -936.57733154297, ['y'] = -378.83584594727, ['z'] = 38.961334228516 },
{ ['x'] = -936.49462890625, ['y'] = -379.42056274414, ['z'] = 38.961345672607 },
{ ['x'] = -936.49462890625, ['y'] = -379.42056274414, ['z'] = 38.961345672607 },
{ ['x'] = -912.44787597656, ['y'] = -365.12322998047, ['z'] = 114.27474212646 },
{ ['x'] = -902.69689941406, ['y'] = -369.72259521484, ['z'] = 136.28202819824 },
{ ['x'] = -1447.6086425781, ['y'] = -537.38159179688, ['z'] = 34.74015045166 },
{ ['x'] = -1452.1264648438, ['y'] = -540.5888671875, ['z'] = 74.044311523438 },
{ ['x'] = -1451.1114501953, ['y'] = -540.83972167969, ['z'] = 85.072937011719 },
